"","profileID","respID","qID","altID","obsID","categoryRing","categoryBracelet","categoryCard","price","compatibilityAndroid","compatibilityBoth","capacity","range","choice"
"103",206,6,5,1,35,1,0,0,25,0,1,5,3,0
"104",41,6,5,2,35,0,0,0,50,0,0,3,1,1
"105",305,6,5,3,35,0,0,0,50,1,0,5,5,0
"106",310,6,6,1,36,1,0,0,100,1,0,5,5,1
"107",274,6,6,2,36,1,0,0,100,1,0,3,5,0
"108",169,6,6,3,36,0,0,0,25,0,1,3,3,0
"109",53,7,1,1,37,0,0,0,50,1,0,3,1,1
"110",190,7,1,2,37,1,0,0,100,0,0,5,3,0
"111",281,7,1,3,37,0,0,0,50,0,1,3,5,0
"112",281,7,2,1,38,0,0,0,50,0,1,3,5,0
"113",142,7,2,2,38,1,0,0,100,0,1,1,3,0
"114",289,7,2,3,38,0,0,0,25,0,0,5,5,1
"115",189,7,3,1,39,0,0,0,100,0,0,5,3,0
"116",102,7,3,2,39,1,0,0,50,0,1,5,1,0
"117",63,7,3,3,39,0,1,0,25,0,1,3,1,1
"118",235,7,4,1,40,0,1,0,50,1,0,1,5,0
"119",209,7,4,2,40,0,0,0,50,0,1,5,3,0
"120",204,7,4,3,40,0,0,1,100,1,0,5,3,1
"121",81,7,5,1,41,0,0,0,100,0,0,5,1,0
"122",72,7,5,2,41,0,0,1,100,0,1,3,1,1
"123",33,7,5,3,41,0,0,0,100,0,1,1,1,0
"124",16,7,6,1,42,0,0,1,25,1,0,1,1,0
"125",235,7,6,2,42,0,1,0,50,1,0,1,5,0
"126",220,7,6,3,42,0,0,1,25,0,0,1,5,1
"127",183,8,1,1,43,0,1,0,25,0,0,5,3,0
"128",324,8,1,2,43,0,0,1,100,0,1,5,5,0
"129",100,8,1,3,43,0,0,1,25,0,1,5,1,1
"130",141,8,2,1,44,0,0,0,100,0,1,1,3,1
"131",300,8,2,2,44,0,0,1,100,0,0,5,5,0
"132",262,8,2,3,44,1,0,0,100,0,0,3,5,0
"133",93,8,3,1,45,0,0,0,100,1,0,5,1,0
"134",280,8,3,2,45,0,0,1,25,0,1,3,5,1
"135",54,8,3,3,45,1,0,0,50,1,0,3,1,0
"136",188,8,4,1,46,0,0,1,50,0,0,5,3,0
"137",231,8,4,2,46,0,1,0,25,1,0,1,5,0
"138",140,8,4,3,46,0,0,1,50,0,1,1,3,1
"139",132,8,5,1,47,0,0,1,100,1,0,1,3,0
"140",160,8,5,2,47,0,0,1,25,1,0,3,3,1
"141",245,8,5,3,47,0,0,0,50,0,1,1,5,0
"142",73,8,6,1,48,0,0,0,25,0,0,5,1,1
"143",6,8,6,2,48,1,0,0,50,0,0,1,1,0
"144",122,8,6,3,48,1,0,0,25,1,0,1,3,0
"145",109,9,1,1,49,0,0,0,25,0,0,1,3,1
"146",31,9,1,2,49,0,1,0,50,0,1,1,1,0
"147",8,9,1,3,49,0,0,1,50,0,0,1,1,0
"148",83,9,2,1,50,0,1,0,100,0,0,5,1,1
"149",214,9,2,2,50,1,0,0,100,0,1,5,3,0
"150",205,9,2,3,50,0,0,0,25,0,1,5,3,0
"151",208,9,3,1,51,0,0,1,25,0,1,5,3,0
"152",96,9,3,2,51,0,0,1,100,1,0,5,1,1
"153",283,9,3,3,51,0,1,0,50,0,1,3,5,0
"154",79,9,4,1,52,0,1,0,50,0,0,5,1,0
"155",82,9,4,2,52,1,0,0,100,0,0,5,1,1
"156",25,9,4,3,52,0,0,0,25,0,1,1,1,0
"157",23,9,5,1,53,0,1,0,100,1,0,1,1,0
"158",85,9,5,2,53,0,0,0,25,1,0,5,1,0
"159",309,9,5,3,53,0,0,0,100,1,0,5,5,1
"160",70,9,6,1,54,1,0,0,100,0,1,3,1,0
"161",226,9,6,2,54,1,0,0,100,0,0,1,5,1
"162",31,9,6,3,54,0,1,0,50,0,1,1,1,0
"163",306,10,1,1,55,1,0,0,50,1,0,5,5,1
"164",118,10,1,2,55,1,0,0,100,0,0,1,3,0
"165",297,10,1,3,55,0,0,0,100,0,0,5,5,0
"166",95,10,2,1,56,0,1,0,100,1,0,5,1,0
"167",1,10,2,2,56,0,0,0,25,0,0,1,1,1
"168",260,10,2,3,56,0,0,1,50,0,0,3,5,0
"169",53,10,3,1,57,0,0,0,50,1,0,3,1,1
"170",236,10,3,2,57,0,0,1,50,1,0,1,5,0
"171",176,10,3,3,57,0,0,1,50,0,1,3,3,0
"172",130,10,4,1,58,1,0,0,100,1,0,1,3,0
"173",27,10,4,2,58,0,1,0,25,0,1,1,1,0
"174",236,10,4,3,58,0,0,1,50,1,0,1,5,1
"175",145,10,5,1,59,0,0,0,25,0,0,3,3,0
"176",90,10,5,2,59,1,0,0,50,1,0,5,1,0
"177",289,10,5,3,59,0,0,0,25,0,0,5,5,1
"178",56,10,6,1,60,0,0,1,50,1,0,3,1,0
"179",42,10,6,2,60,1,0,0,50,0,0,3,1,0
"180",127,10,6,3,60,0,1,0,50,1,0,1,3,1
"181",8,11,1,1,61,0,0,1,50,0,0,1,1,0
"182",118,11,1,2,61,1,0,0,100,0,0,1,3,1
"183",117,11,1,3,61,0,0,0,100,0,0,1,3,0
"184",45,11,2,1,62,0,0,0,100,0,0,3,1,1
"185",83,11,2,2,62,0,1,0,100,0,0,5,1,0
"186",103,11,2,3,62,0,1,0,50,0,1,5,1,0
"187",38,11,3,1,63,1,0,0,25,0,0,3,1,0
"188",166,11,3,2,63,1,0,0,100,1,0,3,3,1
"189",136,11,3,3,63,0,0,1,25,0,1,1,3,0
"190",64,11,4,1,64,0,0,1,25,0,1,3,1,1
"191",202,11,4,2,64,1,0,0,100,1,0,5,3,0
"192",206,11,4,3,64,1,0,0,25,0,1,5,3,0
"193",39,11,5,1,65,0,1,0,25,0,0,3,1,0
"194",321,11,5,2,65,0,0,0,100,0,1,5,5,0
"195",146,11,5,3,65,1,0,0,25,0,0,3,3,1
"196",1,11,6,1,66,0,0,0,25,0,0,1,1,0
"197",168,11,6,2,66,0,0,1,100,1,0,3,3,1
"198",257,11,6,3,66,0,0,0,50,0,0,3,5,0
"199",201,12,1,1,67,0,0,0,100,1,0,5,3,1
"200",103,12,1,2,67,0,1,0,50,0,1,5,1,0
"201",215,12,1,3,67,0,1,0,100,0,1,5,3,0
"202",85,12,2,1,68,0,0,0,25,1,0,5,1,0
"203",293,12,2,2,68,0,0,0,50,0,0,5,5,1
"204",21,12,2,3,68,0,0,0,100,1,0,1,1,0
"205",259,12,3,1,69,0,1,0,50,0,0,3,5,1
"206",89,12,3,2,69,0,0,0,50,1,0,5,1,0
"207",284,12,3,3,69,0,0,1,50,0,1,3,5,0
"208",212,12,4,1,70,0,0,1,50,0,1,5,3,1
"209",202,12,4,2,70,1,0,0,100,1,0,5,3,0
"210",284,12,4,3,70,0,0,1,50,0,1,3,5,0
"211",70,12,5,1,71,1,0,0,100,0,1,3,1,1
"212",183,12,5,2,71,0,1,0,25,0,0,5,3,0
"213",86,12,5,3,71,1,0,0,25,1,0,5,1,0
"214",281,12,6,1,72,0,0,0,50,0,1,3,5,1
"215",82,12,6,2,72,1,0,0,100,0,0,5,1,0
"216",1,12,6,3,72,0,0,0,25,0,0,1,1,0
"217",161,13,1,1,73,0,0,0,50,1,0,3,3,1
"218",225,13,1,2,73,0,0,0,100,0,0,1,5,0
"219",32,13,1,3,73,0,0,1,50,0,1,1,1,0
"220",274,13,2,1,74,1,0,0,100,1,0,3,5,1
"221",10,13,2,2,74,1,0,0,100,0,0,1,1,0
"222",160,13,2,3,74,0,0,1,25,1,0,3,3,0
"223",153,13,3,1,75,0,0,0,100,0,0,3,3,0
"224",249,13,3,2,75,0,0,0,100,0,1,1,5,0
"225",217,13,3,3,75,0,0,0,25,0,0,1,5,1
"226",178,13,4,1,76,1,0,0,100,0,1,3,3,0
"227",301,13,4,2,76,0,0,0,25,1,0,5,5,1
"228",262,13,4,3,76,1,0,0,100,0,0,3,5,0
"229",262,13,5,1,77,1,0,0,100,0,0,3,5,0
"230",322,13,5,2,77,1,0,0,100,0,1,5,5,1
"231",174,13,5,3,77,1,0,0,50,0,1,3,3,0
"232",240,13,6,1,78,0,0,1,100,1,0,1,5,1
"233",154,13,6,2,78,1,0,0,100,0,0,3,3,0
"234",56,13,6,3,78,0,0,1,50,1,0,3,1,0
"235",50,14,1,1,79,1,0,0,25,1,0,3,1,1
"236",161,14,1,2,79,0,0,0,50,1,0,3,3,0
"237",51,14,1,3,79,0,1,0,25,1,0,3,1,0
"238",293,14,2,1,80,0,0,0,50,0,0,5,5,1
"239",110,14,2,2,80,1,0,0,25,0,0,1,3,0
"240",273,14,2,3,80,0,0,0,100,1,0,3,5,0
"241",173,14,3,1,81,0,0,0,50,0,1,3,3,0
"242",128,14,3,2,81,0,0,1,50,1,0,1,3,0
"243",259,14,3,3,81,0,1,0,50,0,0,3,5,1
"244",39,14,4,1,82,0,1,0,25,0,0,3,1,0
"245",202,14,4,2,82,1,0,0,100,1,0,5,3,1
"246",227,14,4,3,82,0,1,0,100,0,0,1,5,0
"247",138,14,5,1,83,1,0,0,50,0,1,1,3,0
"248",34,14,5,2,83,1,0,0,100,0,1,1,1,0
"249",291,14,5,3,83,0,1,0,25,0,0,5,5,1
"250",285,14,6,1,84,0,0,0,100,0,1,3,5,0
"251",238,14,6,2,84,1,0,0,100,1,0,1,5,0
"252",304,14,6,3,84,0,0,1,25,1,0,5,5,1
"253",156,15,1,1,85,0,0,1,100,0,0,3,3,0
"254",199,15,1,2,85,0,1,0,50,1,0,5,3,0
"255",61,15,1,3,85,0,0,0,25,0,1,3,1,1
"256",67,15,2,1,86,0,1,0,50,0,1,3,1,1
"257",24,15,2,2,86,0,0,1,100,1,0,1,1,0
"258",16,15,2,3,86,0,0,1,25,1,0,1,1,0
"259",234,15,3,1,87,1,0,0,50,1,0,1,5,0
"260",48,15,3,2,87,0,0,1,100,0,0,3,1,0
"261",290,15,3,3,87,1,0,0,25,0,0,5,5,1
"262",27,15,4,1,88,0,1,0,25,0,1,1,1,0
"263",81,15,4,2,88,0,0,0,100,0,0,5,1,0
"264",315,15,4,3,88,0,1,0,25,0,1,5,5,1
"265",290,15,5,1,89,1,0,0,25,0,0,5,5,0
"266",213,15,5,2,89,0,0,0,100,0,1,5,3,0
"267",249,15,5,3,89,0,0,0,100,0,1,1,5,1
"268",37,15,6,1,90,0,0,0,25,0,0,3,1,0
"269",154,15,6,2,90,1,0,0,100,0,0,3,3,0
"270",215,15,6,3,90,0,1,0,100,0,1,5,3,1
"271",29,16,1,1,91,0,0,0,50,0,1,1,1,0
"272",298,16,1,2,91,1,0,0,100,0,0,5,5,1
"273",35,16,1,3,91,0,1,0,100,0,1,1,1,0
"274",39,16,2,1,92,0,1,0,25,0,0,3,1,1
"275",20,16,2,2,92,0,0,1,50,1,0,1,1,0
"276",221,16,2,3,92,0,0,0,50,0,0,1,5,0
"277",305,16,3,1,93,0,0,0,50,1,0,5,5,0
"278",17,16,3,2,93,0,0,0,50,1,0,1,1,0
"279",288,16,3,3,93,0,0,1,100,0,1,3,5,1
"280",148,16,4,1,94,0,0,1,25,0,0,3,3,1
"281",202,16,4,2,94,1,0,0,100,1,0,5,3,0
"282",144,16,4,3,94,0,0,1,100,0,1,1,3,0
"283",145,16,5,1,95,0,0,0,25,0,0,3,3,0
"284",281,16,5,2,95,0,0,0,50,0,1,3,5,1
"285",80,16,5,3,95,0,0,1,50,0,0,5,1,0
"286",282,16,6,1,96,1,0,0,50,0,1,3,5,0
"287",154,16,6,2,96,1,0,0,100,0,0,3,3,1
"288",275,16,6,3,96,0,1,0,100,1,0,3,5,0
"289",174,17,1,1,97,1,0,0,50,0,1,3,3,0
"290",288,17,1,2,97,0,0,1,100,0,1,3,5,0
"291",158,17,1,3,97,1,0,0,25,1,0,3,3,1
"292",43,17,2,1,98,0,1,0,50,0,0,3,1,0
"293",172,17,2,2,98,0,0,1,25,0,1,3,3,1
"294",52,17,2,3,98,0,0,1,25,1,0,3,1,0
"295",222,17,3,1,99,1,0,0,50,0,0,1,5,0
"296",274,17,3,2,99,1,0,0,100,1,0,3,5,0
"297",128,17,3,3,99,0,0,1,50,1,0,1,3,1
"298",12,17,4,1,100,0,0,1,100,0,0,1,1,0
"299",1,17,4,2,100,0,0,0,25,0,0,1,1,1
"300",82,17,4,3,100,1,0,0,100,0,0,5,1,0
"301",263,17,5,1,101,0,1,0,100,0,0,3,5,0
"302",314,17,5,2,101,1,0,0,25,0,1,5,5,0
"303",128,17,5,3,101,0,0,1,50,1,0,1,3,1
"304",264,17,6,1,102,0,0,1,100,0,0,3,5,1
"305",127,17,6,2,102,0,1,0,50,1,0,1,3,0
"306",79,17,6,3,102,0,1,0,50,0,0,5,1,0
"307",169,18,1,1,103,0,0,0,25,0,1,3,3,0
"308",255,18,1,2,103,0,1,0,25,0,0,3,5,0
"309",314,18,1,3,103,1,0,0,25,0,1,5,5,1
"310",159,18,2,1,104,0,1,0,25,1,0,3,3,0
"311",255,18,2,2,104,0,1,0,25,0,0,3,5,1
"312",249,18,2,3,104,0,0,0,100,0,1,1,5,0
"313",164,18,3,1,105,0,0,1,50,1,0,3,3,0
"314",315,18,3,2,105,0,1,0,25,0,1,5,5,1
"315",149,18,3,3,105,0,0,0,50,0,0,3,3,0
"316",142,18,4,1,106,1,0,0,100,0,1,1,3,1
"317",214,18,4,2,106,1,0,0,100,0,1,5,3,0
"318",160,18,4,3,106,0,0,1,25,1,0,3,3,0
"319",298,18,5,1,107,1,0,0,100,0,0,5,5,0
"320",257,18,5,2,107,0,0,0,50,0,0,3,5,1
"321",170,18,5,3,107,1,0,0,25,0,1,3,3,0
"322",111,18,6,1,108,0,1,0,25,0,0,1,3,0
"323",44,18,6,2,108,0,0,1,50,0,0,3,1,1
"324",216,18,6,3,108,0,0,1,100,0,1,5,3,0
"325",54,19,1,1,109,1,0,0,50,1,0,3,1,0
"326",176,19,1,2,109,0,0,1,50,0,1,3,3,1
"327",156,19,1,3,109,0,0,1,100,0,0,3,3,0
"328",245,19,2,1,110,0,0,0,50,0,1,1,5,0
"329",101,19,2,2,110,0,0,0,50,0,1,5,1,0
"330",18,19,2,3,110,1,0,0,50,1,0,1,1,1
"331",128,19,3,1,111,0,0,1,50,1,0,1,3,0
"332",95,19,3,2,111,0,1,0,100,1,0,5,1,0
"333",281,19,3,3,111,0,0,0,50,0,1,3,5,1
"334",65,19,4,1,112,0,0,0,50,0,1,3,1,1
"335",262,19,4,2,112,1,0,0,100,0,0,3,5,0
"336",120,19,4,3,112,0,0,1,100,0,0,1,3,0
"337",84,19,5,1,113,0,0,1,100,0,0,5,1,1
"338",152,19,5,2,113,0,0,1,50,0,0,3,3,0
"339",77,19,5,3,113,0,0,0,50,0,0,5,1,0
"340",248,19,6,1,114,0,0,1,50,0,1,1,5,1
"341",280,19,6,2,114,0,0,1,25,0,1,3,5,0
"342",12,19,6,3,114,0,0,1,100,0,0,1,1,0
"343",274,20,1,1,115,1,0,0,100,1,0,3,5,1
"344",259,20,1,2,115,0,1,0,50,0,0,3,5,0
"345",99,20,1,3,115,0,1,0,25,0,1,5,1,0
"346",217,20,2,1,116,0,0,0,25,0,0,1,5,0
"347",246,20,2,2,116,1,0,0,50,0,1,1,5,1
"348",131,20,2,3,116,0,1,0,100,1,0,1,3,0
"349",202,20,3,1,117,1,0,0,100,1,0,5,3,1
"350",140,20,3,2,117,0,0,1,50,0,1,1,3,0
"351",108,20,3,3,117,0,0,1,100,0,1,5,1,0
"352",293,20,4,1,118,0,0,0,50,0,0,5,5,0
"353",27,20,4,2,118,0,1,0,25,0,1,1,1,1
"354",142,20,4,3,118,1,0,0,100,0,1,1,3,0
"355",14,20,5,1,119,1,0,0,25,1,0,1,1,0
"356",280,20,5,2,119,0,0,1,25,0,1,3,5,0
"357",65,20,5,3,119,0,0,0,50,0,1,3,1,1
"358",231,20,6,1,120,0,1,0,25,1,0,1,5,0
"359",117,20,6,2,120,0,0,0,100,0,0,1,3,1
"360",2,20,6,3,120,1,0,0,25,0,0,1,1,0
"361",131,21,1,1,121,0,1,0,100,1,0,1,3,0
"362",150,21,1,2,121,1,0,0,50,0,0,3,3,0
"363",166,21,1,3,121,1,0,0,100,1,0,3,3,1
"364",289,21,2,1,122,0,0,0,25,0,0,5,5,0
"365",19,21,2,2,122,0,1,0,50,1,0,1,1,1
"366",158,21,2,3,122,1,0,0,25,1,0,3,3,0
"367",230,21,3,1,123,1,0,0,25,1,0,1,5,0
"368",144,21,3,2,123,0,0,1,100,0,1,1,3,0
"369",16,21,3,3,123,0,0,1,25,1,0,1,1,1
"370",17,21,4,1,124,0,0,0,50,1,0,1,1,0
"371",23,21,4,2,124,0,1,0,100,1,0,1,1,0
"372",206,21,4,3,124,1,0,0,25,0,1,5,3,1
"373",232,21,5,1,125,0,0,1,25,1,0,1,5,0
"374",187,21,5,2,125,0,1,0,50,0,0,5,3,1
"375",21,21,5,3,125,0,0,0,100,1,0,1,1,0
"376",259,21,6,1,126,0,1,0,50,0,0,3,5,0
"377",62,21,6,2,126,1,0,0,25,0,1,3,1,1
"378",185,21,6,3,126,0,0,0,50,0,0,5,3,0
"379",138,22,1,1,127,1,0,0,50,0,1,1,3,0
"380",200,22,1,2,127,0,0,1,50,1,0,5,3,0
"381",166,22,1,3,127,1,0,0,100,1,0,3,3,1
"382",154,22,2,1,128,1,0,0,100,0,0,3,3,0
"383",136,22,2,2,128,0,0,1,25,0,1,1,3,0
"384",87,22,2,3,128,0,1,0,25,1,0,5,1,1
"385",184,22,3,1,129,0,0,1,25,0,0,5,3,1
"386",218,22,3,2,129,1,0,0,25,0,0,1,5,0
"387",203,22,3,3,129,0,1,0,100,1,0,5,3,0
"388",153,22,4,1,130,0,0,0,100,0,0,3,3,0
"389",27,22,4,2,130,0,1,0,25,0,1,1,1,1
"390",9,22,4,3,130,0,0,0,100,0,0,1,1,0
"391",114,22,5,1,131,1,0,0,50,0,0,1,3,0
"392",44,22,5,2,131,0,0,1,50,0,0,3,1,1
"393",162,22,5,3,131,1,0,0,50,1,0,3,3,0
"394",248,22,6,1,132,0,0,1,50,0,1,1,5,1
"395",135,22,6,2,132,0,1,0,25,0,1,1,3,0
"396",125,22,6,3,132,0,0,0,50,1,0,1,3,0
"397",52,23,1,1,133,0,0,1,25,1,0,3,1,0
"398",104,23,1,2,133,0,0,1,50,0,1,5,1,0
"399",123,23,1,3,133,0,1,0,25,1,0,1,3,1
"400",105,23,2,1,134,0,0,0,100,0,1,5,1,0
"401",58,23,2,2,134,1,0,0,100,1,0,3,1,0
"402",229,23,2,3,134,0,0,0,25,1,0,1,5,1
"403",140,23,3,1,135,0,0,1,50,0,1,1,3,0
"404",69,23,3,2,135,0,0,0,100,0,1,3,1,0
"405",120,23,3,3,135,0,0,1,100,0,0,1,3,1
"406",311,23,4,1,136,0,1,0,100,1,0,5,5,0
"407",224,23,4,2,136,0,0,1,50,0,0,1,5,1
"408",55,23,4,3,136,0,1,0,50,1,0,3,1,0
"409",265,23,5,1,137,0,0,0,25,1,0,3,5,0
"410",87,23,5,2,137,0,1,0,25,1,0,5,1,0
"411",13,23,5,3,137,0,0,0,25,1,0,1,1,1
"412",76,23,6,1,138,0,0,1,25,0,0,5,1,0
"413",13,23,6,2,138,0,0,0,25,1,0,1,1,0
"414",153,23,6,3,138,0,0,0,100,0,0,3,3,1
"415",157,24,1,1,139,0,0,0,25,1,0,3,3,0
"416",145,24,1,2,139,0,0,0,25,0,0,3,3,0
"417",105,24,1,3,139,0,0,0,100,0,1,5,1,1
"418",141,24,2,1,140,0,0,0,100,0,1,1,3,0
"419",121,24,2,2,140,0,0,0,25,1,0,1,3,1
"420",190,24,2,3,140,1,0,0,100,0,0,5,3,0
"421",58,24,3,1,141,1,0,0,100,1,0,3,1,1
"422",86,24,3,2,141,1,0,0,25,1,0,5,1,0
"423",113,24,3,3,141,0,0,0,50,0,0,1,3,0
"424",4,24,4,1,142,0,0,1,25,0,0,1,1,1
"425",202,24,4,2,142,1,0,0,100,1,0,5,3,0
"426",109,24,4,3,142,0,0,0,25,0,0,1,3,0
"427",278,24,5,1,143,1,0,0,25,0,1,3,5,0
"428",30,24,5,2,143,1,0,0,50,0,1,1,1,1
"429",110,24,5,3,143,1,0,0,25,0,0,1,3,0
"430",73,24,6,1,144,0,0,0,25,0,0,5,1,1
"431",248,24,6,2,144,0,0,1,50,0,1,1,5,0
"432",128,24,6,3,144,0,0,1,50,1,0,1,3,0
"433",10,25,1,1,145,1,0,0,100,0,0,1,1,1
"434",304,25,1,2,145,0,0,1,25,1,0,5,5,0
"435",68,25,1,3,145,0,0,1,50,0,1,3,1,0
"436",287,25,2,1,146,0,1,0,100,0,1,3,5,0
"437",139,25,2,2,146,0,1,0,50,0,1,1,3,0
"438",230,25,2,3,146,1,0,0,25,1,0,1,5,1
"439",68,25,3,1,147,0,0,1,50,0,1,3,1,0
"440",150,25,3,2,147,1,0,0,50,0,0,3,3,1
"441",124,25,3,3,147,0,0,1,25,1,0,1,3,0
"442",323,25,4,1,148,0,1,0,100,0,1,5,5,0
"443",156,25,4,2,148,0,0,1,100,0,0,3,3,1
"444",119,25,4,3,148,0,1,0,100,0,0,1,3,0
"445",256,25,5,1,149,0,0,1,25,0,0,3,5,0
"446",154,25,5,2,149,1,0,0,100,0,0,3,3,1
"447",251,25,5,3,149,0,1,0,100,0,1,1,5,0
