profileID,respID,qID,altID,obsID,type,price,compatability,capacity,range,image
72,3,3,2,15,Card,100,Both,3,1,Card.jpg
18,3,3,3,15,Ring,50,Android,1,1,Ring.jpg
165,3,4,1,16,Implant,100,Android,3,3,Implant.jpg
131,3,4,2,16,Bracelet,100,Android,1,3,Bracelet.jpg
22,3,4,3,16,Ring,100,Android,1,1,Ring.jpg
298,3,5,1,17,Ring,100,iOS,5,5,Ring.jpg
129,3,5,2,17,Implant,100,Android,1,3,Implant.jpg
292,3,5,3,17,Card,25,iOS,5,5,Card.jpg
34,3,6,1,18,Ring,100,Both,1,1,Ring.jpg
33,3,6,2,18,Implant,100,Both,1,1,Implant.jpg
89,3,6,3,18,Implant,50,Android,5,1,Implant.jpg
57,4,1,1,19,Implant,100,Android,3,1,Implant.jpg
230,4,1,2,19,Ring,25,Android,1,5,Ring.jpg
92,4,1,3,19,Card,50,Android,5,1,Card.jpg
180,4,2,1,20,Card,100,Both,3,3,Card.jpg
260,4,2,2,20,Card,50,iOS,3,5,Card.jpg
202,4,2,3,20,Ring,100,Android,5,3,Ring.jpg
210,4,3,1,21,Ring,50,Both,5,3,Ring.jpg
293,4,3,2,21,Implant,50,iOS,5,5,Implant.jpg
302,4,3,3,21,Ring,25,Android,5,5,Ring.jpg
272,4,4,1,22,Card,50,Android,3,5,Card.jpg
279,4,4,2,22,Bracelet,25,Both,3,5,Bracelet.jpg
55,4,4,3,22,Bracelet,50,Android,3,1,Bracelet.jpg
216,4,5,1,23,Card,100,Both,5,3,Card.jpg
183,4,5,2,23,Bracelet,25,iOS,5,3,Bracelet.jpg
161,4,5,3,23,Implant,50,Android,3,3,Implant.jpg
281,4,6,1,24,Implant,50,Both,3,5,Implant.jpg
157,4,6,2,24,Implant,25,Android,3,3,Implant.jpg
50,4,6,3,24,Ring,25,Android,3,1,Ring.jpg
33,5,1,1,25,Implant,100,Both,1,1,Implant.jpg
296,5,1,2,25,Card,50,iOS,5,5,Card.jpg
156,5,1,3,25,Card,100,iOS,3,3,Card.jpg
280,5,2,1,26,Card,25,Both,3,5,Card.jpg
247,5,2,2,26,Bracelet,50,Both,1,5,Bracelet.jpg
119,5,2,3,26,Bracelet,100,iOS,1,3,Bracelet.jpg
275,5,3,1,27,Bracelet,100,Android,3,5,Bracelet.jpg
123,5,3,2,27,Bracelet,25,Android,1,3,Bracelet.jpg
279,5,3,3,27,Bracelet,25,Both,3,5,Bracelet.jpg
192,5,4,1,28,Card,100,iOS,5,3,Card.jpg
114,5,4,2,28,Ring,50,iOS,1,3,Ring.jpg
18,5,4,3,28,Ring,50,Android,1,1,Ring.jpg
45,5,5,1,29,Implant,100,iOS,3,1,Implant.jpg
162,5,5,2,29,Ring,50,Android,3,3,Ring.jpg
157,5,5,3,29,Implant,25,Android,3,3,Implant.jpg
215,5,6,1,30,Bracelet,100,Both,5,3,Bracelet.jpg
15,5,6,2,30,Bracelet,25,Android,1,1,Bracelet.jpg
18,5,6,3,30,Ring,50,Android,1,1,Ring.jpg
10,6,1,1,31,Ring,100,iOS,1,1,Ring.jpg
321,6,1,2,31,Implant,100,Both,5,5,Implant.jpg
88,6,1,3,31,Card,25,Android,5,1,Card.jpg
54,6,2,1,32,Ring,50,Android,3,1,Ring.jpg
199,6,2,2,32,Bracelet,50,Android,5,3,Bracelet.jpg
262,6,2,3,32,Ring,100,iOS,3,5,Ring.jpg
125,6,3,1,33,Implant,50,Android,1,3,Implant.jpg
193,6,3,2,33,Implant,25,Android,5,3,Implant.jpg
29,6,3,3,33,Implant,50,Both,1,1,Implant.jpg
207,6,4,1,34,Bracelet,25,Both,5,3,Bracelet.jpg
314,6,4,2,34,Ring,25,Both,5,5,Ring.jpg
6,6,4,3,34,Ring,50,iOS,1,1,Ring.jpg
264,6,5,1,35,Card,100,iOS,3,5,Card.jpg
16,6,5,2,35,Card,25,Android,1,1,Card.jpg
6,6,5,3,35,Ring,50,iOS,1,1,Ring.jpg
285,6,6,1,36,Implant,100,Both,3,5,Implant.jpg
63,6,6,2,36,Bracelet,25,Both,3,1,Bracelet.jpg
224,6,6,3,36,Card,50,iOS,1,5,Card.jpg
104,7,1,1,37,Card,50,Both,5,1,Card.jpg
37,7,1,2,37,Implant,25,iOS,3,1,Implant.jpg
177,7,1,3,37,Implant,100,Both,3,3,Implant.jpg
96,7,2,1,38,Card,100,Android,5,1,Card.jpg
252,7,2,2,38,Card,100,Both,1,5,Card.jpg
42,7,2,3,38,Ring,50,iOS,3,1,Ring.jpg
97,7,3,1,39,Implant,25,Both,5,1,Implant.jpg
14,7,3,2,39,Ring,25,Android,1,1,Ring.jpg
78,7,3,3,39,Ring,50,iOS,5,1,Ring.jpg
195,7,4,1,40,Bracelet,25,Android,5,3,Bracelet.jpg
256,7,4,2,40,Card,25,iOS,3,5,Card.jpg
267,7,4,3,40,Bracelet,25,Android,3,5,Bracelet.jpg
239,7,5,1,41,Bracelet,100,Android,1,5,Bracelet.jpg
297,7,5,2,41,Implant,100,iOS,5,5,Implant.jpg
315,7,5,3,41,Bracelet,25,Both,5,5,Bracelet.jpg
103,7,6,1,42,Bracelet,50,Both,5,1,Bracelet.jpg
128,7,6,2,42,Card,50,Android,1,3,Card.jpg
84,7,6,3,42,Card,100,iOS,5,1,Card.jpg
115,8,1,1,43,Bracelet,50,iOS,1,3,Bracelet.jpg
76,8,1,2,43,Card,25,iOS,5,1,Card.jpg
68,8,1,3,43,Card,50,Both,3,1,Card.jpg
143,8,2,1,44,Bracelet,100,Both,1,3,Bracelet.jpg
92,8,2,2,44,Card,50,Android,5,1,Card.jpg
74,8,2,3,44,Ring,25,iOS,5,1,Ring.jpg
294,8,3,1,45,Ring,50,iOS,5,5,Ring.jpg
124,8,3,2,45,Card,25,Android,1,3,Card.jpg
252,8,3,3,45,Card,100,Both,1,5,Card.jpg
104,8,4,1,46,Card,50,Both,5,1,Card.jpg
227,8,4,2,46,Bracelet,100,iOS,1,5,Bracelet.jpg
266,8,4,3,46,Ring,25,Android,3,5,Ring.jpg
174,8,5,1,47,Ring,50,Both,3,3,Ring.jpg
8,8,5,2,47,Card,50,iOS,1,1,Card.jpg
74,8,5,3,47,Ring,25,iOS,5,1,Ring.jpg
59,8,6,1,48,Bracelet,100,Android,3,1,Bracelet.jpg
86,8,6,2,48,Ring,25,Android,5,1,Ring.jpg
46,8,6,3,48,Ring,100,iOS,3,1,Ring.jpg
264,9,1,1,49,Card,100,iOS,3,5,Card.jpg
121,9,1,2,49,Implant,25,Android,1,3,Implant.jpg
85,9,1,3,49,Implant,25,Android,5,1,Implant.jpg
281,9,2,1,50,Implant,50,Both,3,5,Implant.jpg
270,9,2,2,50,Ring,50,Android,3,5,Ring.jpg
32,9,2,3,50,Card,50,Both,1,1,Card.jpg
203,9,3,1,51,Bracelet,100,Android,5,3,Bracelet.jpg
115,9,3,2,51,Bracelet,50,iOS,1,3,Bracelet.jpg
137,9,3,3,51,Implant,50,Both,1,3,Implant.jpg
156,9,4,1,52,Card,100,iOS,3,3,Card.jpg
60,9,4,2,52,Card,100,Android,3,1,Card.jpg
236,9,4,3,52,Card,50,Android,1,5,Card.jpg
17,9,5,1,53,Implant,50,Android,1,1,Implant.jpg
191,9,5,2,53,Bracelet,100,iOS,5,3,Bracelet.jpg
157,9,5,3,53,Implant,25,Android,3,3,Implant.jpg
192,9,6,1,54,Card,100,iOS,5,3,Card.jpg
50,9,6,2,54,Ring,25,Android,3,1,Ring.jpg
80,9,6,3,54,Card,50,iOS,5,1,Card.jpg
132,10,1,1,55,Card,100,Android,1,3,Card.jpg
260,10,1,2,55,Card,50,iOS,3,5,Card.jpg
176,10,1,3,55,Card,50,Both,3,3,Card.jpg
267,10,2,1,56,Bracelet,25,Android,3,5,Bracelet.jpg
158,10,2,2,56,Ring,25,Android,3,3,Ring.jpg
55,10,2,3,56,Bracelet,50,Android,3,1,Bracelet.jpg
149,10,3,1,57,Implant,50,iOS,3,3,Implant.jpg
311,10,3,2,57,Bracelet,100,Android,5,5,Bracelet.jpg
285,10,3,3,57,Implant,100,Both,3,5,Implant.jpg
26,10,4,1,58,Ring,25,Both,1,1,Ring.jpg
197,10,4,2,58,Implant,50,Android,5,3,Implant.jpg
178,10,4,3,58,Ring,100,Both,3,3,Ring.jpg
137,10,5,1,59,Implant,50,Both,1,3,Implant.jpg
240,10,5,2,59,Card,100,Android,1,5,Card.jpg
41,10,5,3,59,Implant,50,iOS,3,1,Implant.jpg
7,10,6,1,60,Bracelet,50,iOS,1,1,Bracelet.jpg
119,10,6,2,60,Bracelet,100,iOS,1,3,Bracelet.jpg
123,10,6,3,60,Bracelet,25,Android,1,3,Bracelet.jpg
109,11,1,1,61,Implant,25,iOS,1,3,Implant.jpg
237,11,1,2,61,Implant,100,Android,1,5,Implant.jpg
197,11,1,3,61,Implant,50,Android,5,3,Implant.jpg
13,11,2,1,62,Implant,25,Android,1,1,Implant.jpg
78,11,2,2,62,Ring,50,iOS,5,1,Ring.jpg
61,11,2,3,62,Implant,25,Both,3,1,Implant.jpg
303,11,3,1,63,Bracelet,25,Android,5,5,Bracelet.jpg
255,11,3,2,63,Bracelet,25,iOS,3,5,Bracelet.jpg
198,11,3,3,63,Ring,50,Android,5,3,Ring.jpg
190,11,4,1,64,Ring,100,iOS,5,3,Ring.jpg
153,11,4,2,64,Implant,100,iOS,3,3,Implant.jpg
109,11,4,3,64,Implant,25,iOS,1,3,Implant.jpg
229,11,5,1,65,Implant,25,Android,1,5,Implant.jpg
162,11,5,2,65,Ring,50,Android,3,3,Ring.jpg
217,11,5,3,65,Implant,25,iOS,1,5,Implant.jpg
302,11,6,1,66,Ring,25,Android,5,5,Ring.jpg
285,11,6,2,66,Implant,100,Both,3,5,Implant.jpg
217,11,6,3,66,Implant,25,iOS,1,5,Implant.jpg
18,12,1,1,67,Ring,50,Android,1,1,Ring.jpg
39,12,1,2,67,Bracelet,25,iOS,3,1,Bracelet.jpg
61,12,1,3,67,Implant,25,Both,3,1,Implant.jpg
304,12,2,1,68,Card,25,Android,5,5,Card.jpg
222,12,2,2,68,Ring,50,iOS,1,5,Ring.jpg
239,12,2,3,68,Bracelet,100,Android,1,5,Bracelet.jpg
289,12,3,1,69,Implant,25,iOS,5,5,Implant.jpg
263,12,3,2,69,Bracelet,100,iOS,3,5,Bracelet.jpg
144,12,3,3,69,Card,100,Both,1,3,Card.jpg
53,12,4,1,70,Implant,50,Android,3,1,Implant.jpg
47,12,4,2,70,Bracelet,100,iOS,3,1,Bracelet.jpg
46,12,4,3,70,Ring,100,iOS,3,1,Ring.jpg
238,12,5,1,71,Ring,100,Android,1,5,Ring.jpg
86,12,5,2,71,Ring,25,Android,5,1,Ring.jpg
104,12,5,3,71,Card,50,Both,5,1,Card.jpg
242,12,6,1,72,Ring,25,Both,1,5,Ring.jpg
203,12,6,2,72,Bracelet,100,Android,5,3,Bracelet.jpg
97,12,6,3,72,Implant,25,Both,5,1,Implant.jpg
141,13,1,1,73,Implant,100,Both,1,3,Implant.jpg
241,13,1,2,73,Implant,25,Both,1,5,Implant.jpg
172,13,1,3,73,Card,25,Both,3,3,Card.jpg
54,13,2,1,74,Ring,50,Android,3,1,Ring.jpg
166,13,2,2,74,Ring,100,Android,3,3,Ring.jpg
116,13,2,3,74,Card,50,iOS,1,3,Card.jpg
241,13,3,1,75,Implant,25,Both,1,5,Implant.jpg
200,13,3,2,75,Card,50,Android,5,3,Card.jpg
295,13,3,3,75,Bracelet,50,iOS,5,5,Bracelet.jpg
17,13,4,1,76,Implant,50,Android,1,1,Implant.jpg
229,13,4,2,76,Implant,25,Android,1,5,Implant.jpg
292,13,4,3,76,Card,25,iOS,5,5,Card.jpg
185,13,5,1,77,Implant,50,iOS,5,3,Implant.jpg
52,13,5,2,77,Card,25,Android,3,1,Card.jpg
317,13,5,3,77,Implant,50,Both,5,5,Implant.jpg
187,13,6,1,78,Bracelet,50,iOS,5,3,Bracelet.jpg
258,13,6,2,78,Ring,50,iOS,3,5,Ring.jpg
248,13,6,3,78,Card,50,Both,1,5,Card.jpg
173,14,1,1,79,Implant,50,Both,3,3,Implant.jpg
154,14,1,2,79,Ring,100,iOS,3,3,Ring.jpg
287,14,1,3,79,Bracelet,100,Both,3,5,Bracelet.jpg
91,14,2,1,80,Bracelet,50,Android,5,1,Bracelet.jpg
75,14,2,2,80,Bracelet,25,iOS,5,1,Bracelet.jpg
182,14,2,3,80,Ring,25,iOS,5,3,Ring.jpg
295,14,3,1,81,Bracelet,50,iOS,5,5,Bracelet.jpg
265,14,3,2,81,Implant,25,Android,3,5,Implant.jpg
12,14,3,3,81,Card,100,iOS,1,1,Card.jpg
253,14,4,1,82,Implant,25,iOS,3,5,Implant.jpg
234,14,4,2,82,Ring,50,Android,1,5,Ring.jpg
98,14,4,3,82,Ring,25,Both,5,1,Ring.jpg
295,14,5,1,83,Bracelet,50,iOS,5,5,Bracelet.jpg
99,14,5,2,83,Bracelet,25,Both,5,1,Bracelet.jpg
207,14,5,3,83,Bracelet,25,Both,5,3,Bracelet.jpg
286,14,6,1,84,Ring,100,Both,3,5,Ring.jpg
300,14,6,2,84,Card,100,iOS,5,5,Card.jpg
273,14,6,3,84,Implant,100,Android,3,5,Implant.jpg
73,15,1,1,85,Implant,25,iOS,5,1,Implant.jpg
245,15,1,2,85,Implant,50,Both,1,5,Implant.jpg
206,15,1,3,85,Ring,25,Both,5,3,Ring.jpg
174,15,2,1,86,Ring,50,Both,3,3,Ring.jpg
34,15,2,2,86,Ring,100,Both,1,1,Ring.jpg
167,15,2,3,86,Bracelet,100,Android,3,3,Bracelet.jpg
226,15,3,1,87,Ring,100,iOS,1,5,Ring.jpg
256,15,3,2,87,Card,25,iOS,3,5,Card.jpg
157,15,3,3,87,Implant,25,Android,3,3,Implant.jpg
309,15,4,1,88,Implant,100,Android,5,5,Implant.jpg
156,15,4,2,88,Card,100,iOS,3,3,Card.jpg
90,15,4,3,88,Ring,50,Android,5,1,Ring.jpg
246,15,5,1,89,Ring,50,Both,1,5,Ring.jpg
55,15,5,2,89,Bracelet,50,Android,3,1,Bracelet.jpg
83,15,5,3,89,Bracelet,100,iOS,5,1,Bracelet.jpg
169,15,6,1,90,Implant,25,Both,3,3,Implant.jpg
311,15,6,2,90,Bracelet,100,Android,5,5,Bracelet.jpg
267,15,6,3,90,Bracelet,25,Android,3,5,Bracelet.jpg
232,16,1,1,91,Card,25,Android,1,5,Card.jpg
268,16,1,2,91,Card,25,Android,3,5,Card.jpg
105,16,1,3,91,Implant,100,Both,5,1,Implant.jpg
91,16,2,1,92,Bracelet,50,Android,5,1,Bracelet.jpg
112,16,2,2,92,Card,25,iOS,1,3,Card.jpg
278,16,2,3,92,Ring,25,Both,3,5,Ring.jpg
256,16,3,1,93,Card,25,iOS,3,5,Card.jpg
61,16,3,2,93,Implant,25,Both,3,1,Implant.jpg
193,16,3,3,93,Implant,25,Android,5,3,Implant.jpg
288,16,4,1,94,Card,100,Both,3,5,Card.jpg
171,16,4,2,94,Bracelet,25,Both,3,3,Bracelet.jpg
89,16,4,3,94,Implant,50,Android,5,1,Implant.jpg
72,16,5,1,95,Card,100,Both,3,1,Card.jpg
308,16,5,2,95,Card,50,Android,5,5,Card.jpg
193,16,5,3,95,Implant,25,Android,5,3,Implant.jpg
137,16,6,1,96,Implant,50,Both,1,3,Implant.jpg
75,16,6,2,96,Bracelet,25,iOS,5,1,Bracelet.jpg
274,16,6,3,96,Ring,100,Android,3,5,Ring.jpg
128,17,1,1,97,Card,50,Android,1,3,Card.jpg
164,17,1,2,97,Card,50,Android,3,3,Card.jpg
27,17,1,3,97,Bracelet,25,Both,1,1,Bracelet.jpg
103,17,2,1,98,Bracelet,50,Both,5,1,Bracelet.jpg
40,17,2,2,98,Card,25,iOS,3,1,Card.jpg
144,17,2,3,98,Card,100,Both,1,3,Card.jpg
297,17,3,1,99,Implant,100,iOS,5,5,Implant.jpg
89,17,3,2,99,Implant,50,Android,5,1,Implant.jpg
206,17,3,3,99,Ring,25,Both,5,3,Ring.jpg
166,17,4,1,100,Ring,100,Android,3,3,Ring.jpg
217,17,4,2,100,Implant,25,iOS,1,5,Implant.jpg
57,17,4,3,100,Implant,100,Android,3,1,Implant.jpg
261,17,5,1,101,Implant,100,iOS,3,5,Implant.jpg
194,17,5,2,101,Ring,25,Android,5,3,Ring.jpg
54,17,5,3,101,Ring,50,Android,3,1,Ring.jpg
14,17,6,1,102,Ring,25,Android,1,1,Ring.jpg
256,17,6,2,102,Card,25,iOS,3,5,Card.jpg
122,17,6,3,102,Ring,25,Android,1,3,Ring.jpg
73,18,1,1,103,Implant,25,iOS,5,1,Implant.jpg
93,18,1,2,103,Implant,100,Android,5,1,Implant.jpg
180,18,1,3,103,Card,100,Both,3,3,Card.jpg
194,18,2,1,104,Ring,25,Android,5,3,Ring.jpg
70,18,2,2,104,Ring,100,Both,3,1,Ring.jpg
256,18,2,3,104,Card,25,iOS,3,5,Card.jpg
139,18,3,1,105,Bracelet,50,Both,1,3,Bracelet.jpg
118,18,3,2,105,Ring,100,iOS,1,3,Ring.jpg
288,18,3,3,105,Card,100,Both,3,5,Card.jpg
133,18,4,1,106,Implant,25,Both,1,3,Implant.jpg
178,18,4,2,106,Ring,100,Both,3,3,Ring.jpg
15,18,4,3,106,Bracelet,25,Android,1,1,Bracelet.jpg
196,18,5,1,107,Card,25,Android,5,3,Card.jpg
315,18,5,2,107,Bracelet,25,Both,5,5,Bracelet.jpg
145,18,5,3,107,Implant,25,iOS,3,3,Implant.jpg
212,18,6,1,108,Card,50,Both,5,3,Card.jpg
59,18,6,2,108,Bracelet,100,Android,3,1,Bracelet.jpg
89,18,6,3,108,Implant,50,Android,5,1,Implant.jpg
284,19,1,1,109,Card,50,Both,3,5,Card.jpg
139,19,1,2,109,Bracelet,50,Both,1,3,Bracelet.jpg
37,19,1,3,109,Implant,25,iOS,3,1,Implant.jpg
73,19,2,1,110,Implant,25,iOS,5,1,Implant.jpg
106,19,2,2,110,Ring,100,Both,5,1,Ring.jpg
142,19,2,3,110,Ring,100,Both,1,3,Ring.jpg
48,19,3,1,111,Card,100,iOS,3,1,Card.jpg
219,19,3,2,111,Bracelet,25,iOS,1,5,Bracelet.jpg
237,19,3,3,111,Implant,100,Android,1,5,Implant.jpg
248,19,4,1,112,Card,50,Both,1,5,Card.jpg
157,19,4,2,112,Implant,25,Android,3,3,Implant.jpg
268,19,4,3,112,Card,25,Android,3,5,Card.jpg
257,19,5,1,113,Implant,50,iOS,3,5,Implant.jpg
114,19,5,2,113,Ring,50,iOS,1,3,Ring.jpg
208,19,5,3,113,Card,25,Both,5,3,Card.jpg
169,19,6,1,114,Implant,25,Both,3,3,Implant.jpg
265,19,6,2,114,Implant,25,Android,3,5,Implant.jpg
305,19,6,3,114,Implant,50,Android,5,5,Implant.jpg
222,20,1,1,115,Ring,50,iOS,1,5,Ring.jpg
193,20,1,2,115,Implant,25,Android,5,3,Implant.jpg
282,20,1,3,115,Ring,50,Both,3,5,Ring.jpg
130,20,2,1,116,Ring,100,Android,1,3,Ring.jpg
232,20,2,2,116,Card,25,Android,1,5,Card.jpg
61,20,2,3,116,Implant,25,Both,3,1,Implant.jpg
223,20,3,1,117,Bracelet,50,iOS,1,5,Bracelet.jpg
234,20,3,2,117,Ring,50,Android,1,5,Ring.jpg
218,20,3,3,117,Ring,25,iOS,1,5,Ring.jpg
144,20,4,1,118,Card,100,Both,1,3,Card.jpg
52,20,4,2,118,Card,25,Android,3,1,Card.jpg
49,20,4,3,118,Implant,25,Android,3,1,Implant.jpg
20,20,5,1,119,Card,50,Android,1,1,Card.jpg
25,20,5,2,119,Implant,25,Both,1,1,Implant.jpg
202,20,5,3,119,Ring,100,Android,5,3,Ring.jpg
316,20,6,1,120,Card,25,Both,5,5,Card.jpg
135,20,6,2,120,Bracelet,25,Both,1,3,Bracelet.jpg
82,20,6,3,120,Ring,100,iOS,5,1,Ring.jpg
288,21,1,1,121,Card,100,Both,3,5,Card.jpg
125,21,1,2,121,Implant,50,Android,1,3,Implant.jpg
48,21,1,3,121,Card,100,iOS,3,1,Card.jpg
34,21,2,1,122,Ring,100,Both,1,1,Ring.jpg
47,21,2,2,122,Bracelet,100,iOS,3,1,Bracelet.jpg
204,21,2,3,122,Card,100,Android,5,3,Card.jpg
320,21,3,1,123,Card,50,Both,5,5,Card.jpg
135,21,3,2,123,Bracelet,25,Both,1,3,Bracelet.jpg
101,21,3,3,123,Implant,50,Both,5,1,Implant.jpg
302,21,4,1,124,Ring,25,Android,5,5,Ring.jpg
261,21,4,2,124,Implant,100,iOS,3,5,Implant.jpg
250,21,4,3,124,Ring,100,Both,1,5,Ring.jpg
312,21,5,1,125,Card,100,Android,5,5,Card.jpg
68,21,5,2,125,Card,50,Both,3,1,Card.jpg
214,21,5,3,125,Ring,100,Both,5,3,Ring.jpg
56,21,6,1,126,Card,50,Android,3,1,Card.jpg
120,21,6,2,126,Card,100,iOS,1,3,Card.jpg
166,21,6,3,126,Ring,100,Android,3,3,Ring.jpg
284,22,1,1,127,Card,50,Both,3,5,Card.jpg
250,22,1,2,127,Ring,100,Both,1,5,Ring.jpg
23,22,1,3,127,Bracelet,100,Android,1,1,Bracelet.jpg
203,22,2,1,128,Bracelet,100,Android,5,3,Bracelet.jpg
269,22,2,2,128,Implant,50,Android,3,5,Implant.jpg
301,22,2,3,128,Implant,25,Android,5,5,Implant.jpg
138,22,3,1,129,Ring,50,Both,1,3,Ring.jpg
315,22,3,2,129,Bracelet,25,Both,5,5,Bracelet.jpg
194,22,3,3,129,Ring,25,Android,5,3,Ring.jpg
73,22,4,1,130,Implant,25,iOS,5,1,Implant.jpg
158,22,4,2,130,Ring,25,Android,3,3,Ring.jpg
91,22,4,3,130,Bracelet,50,Android,5,1,Bracelet.jpg
204,22,5,1,131,Card,100,Android,5,3,Card.jpg
206,22,5,2,131,Ring,25,Both,5,3,Ring.jpg
230,22,5,3,131,Ring,25,Android,1,5,Ring.jpg
25,22,6,1,132,Implant,25,Both,1,1,Implant.jpg
71,22,6,2,132,Bracelet,100,Both,3,1,Bracelet.jpg
266,22,6,3,132,Ring,25,Android,3,5,Ring.jpg
195,23,1,1,133,Bracelet,25,Android,5,3,Bracelet.jpg
290,23,1,2,133,Ring,25,iOS,5,5,Ring.jpg
58,23,1,3,133,Ring,100,Android,3,1,Ring.jpg
180,23,2,1,134,Card,100,Both,3,3,Card.jpg
176,23,2,2,134,Card,50,Both,3,3,Card.jpg
26,23,2,3,134,Ring,25,Both,1,1,Ring.jpg
98,23,3,1,135,Ring,25,Both,5,1,Ring.jpg
102,23,3,2,135,Ring,50,Both,5,1,Ring.jpg
241,23,3,3,135,Implant,25,Both,1,5,Implant.jpg
212,23,4,1,136,Card,50,Both,5,3,Card.jpg
45,23,4,2,136,Implant,100,iOS,3,1,Implant.jpg
321,23,4,3,136,Implant,100,Both,5,5,Implant.jpg
316,23,5,1,137,Card,25,Both,5,5,Card.jpg
54,23,5,2,137,Ring,50,Android,3,1,Ring.jpg
96,23,5,3,137,Card,100,Android,5,1,Card.jpg
90,23,6,1,138,Ring,50,Android,5,1,Ring.jpg
296,23,6,2,138,Card,50,iOS,5,5,Card.jpg
308,23,6,3,138,Card,50,Android,5,5,Card.jpg
277,24,1,1,139,Implant,25,Both,3,5,Implant.jpg
231,24,1,2,139,Bracelet,25,Android,1,5,Bracelet.jpg
282,24,1,3,139,Ring,50,Both,3,5,Ring.jpg
27,24,2,1,140,Bracelet,25,Both,1,1,Bracelet.jpg
290,24,2,2,140,Ring,25,iOS,5,5,Ring.jpg
318,24,2,3,140,Ring,50,Both,5,5,Ring.jpg
303,24,3,1,141,Bracelet,25,Android,5,5,Bracelet.jpg
14,24,3,2,141,Ring,25,Android,1,1,Ring.jpg
175,24,3,3,141,Bracelet,50,Both,3,3,Bracelet.jpg
47,24,4,1,142,Bracelet,100,iOS,3,1,Bracelet.jpg
224,24,4,2,142,Card,50,iOS,1,5,Card.jpg
255,24,4,3,142,Bracelet,25,iOS,3,5,Bracelet.jpg
147,24,5,1,143,Bracelet,25,iOS,3,3,Bracelet.jpg
221,24,5,2,143,Implant,50,iOS,1,5,Implant.jpg
305,24,5,3,143,Implant,50,Android,5,5,Implant.jpg
76,24,6,1,144,Card,25,iOS,5,1,Card.jpg
46,24,6,2,144,Ring,100,iOS,3,1,Ring.jpg
91,24,6,3,144,Bracelet,50,Android,5,1,Bracelet.jpg
127,25,1,1,145,Bracelet,50,Android,1,3,Bracelet.jpg
135,25,1,2,145,Bracelet,25,Both,1,3,Bracelet.jpg
315,25,1,3,145,Bracelet,25,Both,5,5,Bracelet.jpg
132,25,2,1,146,Card,100,Android,1,3,Card.jpg
93,25,2,2,146,Implant,100,Android,5,1,Implant.jpg
192,25,2,3,146,Card,100,iOS,5,3,Card.jpg
153,25,3,1,147,Implant,100,iOS,3,3,Implant.jpg
256,25,3,2,147,Card,25,iOS,3,5,Card.jpg
